FIPS Code,Geography,Year,Program Type,Population
36093,Schenectady County,2023,Postcensal Population Estimate,160378
36095,Schoharie County,2023,Postcensal Population Estimate,30126
36097,Schuyler County,2023,Postcensal Population Estimate,17446
36099,Seneca County,2023,Postcensal Population Estimate,32416
36101,Steuben County,2023,Postcensal Population Estimate,92087
36103,Suffolk County,2023,Postcensal Population Estimate,1529029
36105,Sullivan County,2023,Postcensal Population Estimate,80190
36107,Tioga County,2023,Postcensal Population Estimate,47593
36109,Tompkins County,2023,Postcensal Population Estimate,105505
36111,Ulster County,2023,Postcensal Population Estimate,182906
36113,Warren County,2023,Postcensal Population Estimate,65508
36115,Washington County,2023,Postcensal Population Estimate,60032
36117,Wayne County,2023,Postcensal Population Estimate,90671
36119,Westchester County,2023,Postcensal Population Estimate,996926
36121,Wyoming County,2023,Postcensal Population Estimate,39530
36123,Yates County,2023,Postcensal Population Estimate,24413
36000,New York State,2022,Postcensal Population Estimate,19703747
36001,Albany County,2022,Postcensal Population Estimate,316287
36003,Allegany County,2022,Postcensal Population Estimate,46850
36005,Bronx County,2022,Postcensal Population Estimate,1384189
36007,Broome County,2022,Postcensal Population Estimate,197340
36009,Cattaraugus County,2022,Postcensal Population Estimate,76036
36011,Cayuga County,2022,Postcensal Population Estimate,74758
36013,Chautauqua County,2022,Postcensal Population Estimate,125310
36015,Chemung County,2022,Postcensal Population Estimate,81598
36017,Chenango County,2022,Postcensal Population Estimate,46301
36019,Clinton County,2022,Postcensal Population Estimate,77978
36021,Columbia County,2022,Postcensal Population Estimate,61187
36023,Cortland County,2022,Postcensal Population Estimate,46133
36025,Delaware County,2022,Postcensal Population Estimate,44769
36027,Dutchess County,2022,Postcensal Population Estimate,298186
36029,Erie County,2022,Postcensal Population Estimate,948745
36031,Essex County,2022,Postcensal Population Estimate,36788
36033,Franklin County,2022,Postcensal Population Estimate,46072
36035,Fulton County,2022,Postcensal Population Estimate,52245
36037,Genesee County,2022,Postcensal Population Estimate,57482
36039,Greene County,2022,Postcensal Population Estimate,47388
36041,Hamilton County,2022,Postcensal Population Estimate,5108
36043,Herkimer County,2022,Postcensal Population Estimate,59576
36045,Jefferson County,2022,Postcensal Population Estimate,115487
36047,Kings County,2022,Postcensal Population Estimate,2596607
36049,Lewis County,2022,Postcensal Population Estimate,26602
36051,Livingston County,2022,Postcensal Population Estimate,61385
36053,Madison County,2022,Postcensal Population Estimate,67062
36055,Monroe County,2022,Postcensal Population Estimate,751827
36057,Montgomery County,2022,Postcensal Population Estimate,49434
36059,Nassau County,2022,Postcensal Population Estimate,1386825
36061,New York County,2022,Postcensal Population Estimate,1597103
36063,Niagara County,2022,Postcensal Population Estimate,210466
36065,Oneida County,2022,Postcensal Population Estimate,228502
36067,Onondaga County,2022,Postcensal Population Estimate,470432
36069,Ontario County,2022,Postcensal Population Estimate,112509
36071,Orange County,2022,Postcensal Population Estimate,406677
36073,Orleans County,2022,Postcensal Population Estimate,39329
36075,Oswego County,2022,Postcensal Population Estimate,118110
36077,Otsego County,2022,Postcensal Population Estimate,60408
36079,Putnam County,2022,Postcensal Population Estimate,98274
36081,Queens County,2022,Postcensal Population Estimate,2285640
36083,Rensselaer County,2022,Postcensal Population Estimate,159530
36085,Richmond County,2022,Postcensal Population Estimate,492640
36087,Rockland County,2022,Postcensal Population Estimate,340756
36089,St. Lawrence County,2022,Postcensal Population Estimate,107043
36091,Saratoga County,2022,Postcensal Population Estimate,238491
36093,Schenectady County,2022,Postcensal Population Estimate,159846
36095,Schoharie County,2022,Postcensal Population Estimate,30062
36097,Schuyler County,2022,Postcensal Population Estimate,17591
36099,Seneca County,2022,Postcensal Population Estimate,32610
36101,Steuben County,2022,Postcensal Population Estimate,92420
36103,Suffolk County,2022,Postcensal Population Estimate,1529565
36105,Sullivan County,2022,Postcensal Population Estimate,79768
36107,Tioga County,2022,Postcensal Population Estimate,47708
36109,Tompkins County,2022,Postcensal Population Estimate,105827
36111,Ulster County,2022,Postcensal Population Estimate,182357
36113,Warren County,2022,Postcensal Population Estimate,65448
36115,Washington County,2022,Postcensal Population Estimate,60764
36117,Wayne County,2022,Postcensal Population Estimate,90831
36119,Westchester County,2022,Postcensal Population Estimate,993488
36121,Wyoming County,2022,Postcensal Population Estimate,39528
36123,Yates County,2022,Postcensal Population Estimate,24469
36000,New York State,2021,Postcensal Population Estimate,19848276
36001,Albany County,2021,Postcensal Population Estimate,316817
36003,Allegany County,2021,Postcensal Population Estimate,46962
36005,Bronx County,2021,Postcensal Population Estimate,1420392
36007,Broome County,2021,Postcensal Population Estimate,198596
36009,Cattaraugus County,2021,Postcensal Population Estimate,76551
36011,Cayuga County,2021,Postcensal Population Estimate,75457
36013,Chautauqua County,2021,Postcensal Population Estimate,126192
36015,Chemung County,2021,Postcensal Population Estimate,83064
36017,Chenango County,2021,Postcensal Population Estimate,46572
36019,Clinton County,2021,Postcensal Population Estimate,79018
36021,Columbia County,2021,Postcensal Population Estimate,61977
36023,Cortland County,2021,Postcensal Population Estimate,46443
36025,Delaware County,2021,Postcensal Population Estimate,44730
36027,Dutchess County,2021,Postcensal Population Estimate,298816
36029,Erie County,2021,Postcensal Population Estimate,953023
36031,Essex County,2021,Postcensal Population Estimate,37246
36033,Franklin County,2021,Postcensal Population Estimate,46797
36035,Fulton County,2021,Postcensal Population Estimate,52751
36037,Genesee County,2021,Postcensal Population Estimate,57902
36039,Greene County,2021,Postcensal Population Estimate,47898
36041,Hamilton County,2021,Postcensal Population Estimate,5114
36043,Herkimer County,2021,Postcensal Population Estimate,60020
36045,Jefferson County,2021,Postcensal Population Estimate,116925
36047,Kings County,2021,Postcensal Population Estimate,2634268
36049,Lewis County,2021,Postcensal Population Estimate,26721
36051,Livingston County,2021,Postcensal Population Estimate,61698
36053,Madison County,2021,Postcensal Population Estimate,67402
36055,Monroe County,2021,Postcensal Population Estimate,756089
36057,Montgomery County,2021,Postcensal Population Estimate,49490
36059,Nassau County,2021,Postcensal Population Estimate,1392058
36061,New York County,2021,Postcensal Population Estimate,1576787
36063,Niagara County,2021,Postcensal Population Estimate,211754
36065,Oneida County,2021,Postcensal Population Estimate,229660
36067,Onondaga County,2021,Postcensal Population Estimate,471959
36069,Ontario County,2021,Postcensal Population Estimate,112648
36071,Orange County,2021,Postcensal Population Estimate,405214
36073,Orleans County,2021,Postcensal Population Estimate,39566
36075,Oswego County,2021,Postcensal Population Estimate,118010
36077,Otsego County,2021,Postcensal Population Estimate,60722
36079,Putnam County,2021,Postcensal Population Estimate,98235
36081,Queens County,2021,Postcensal Population Estimate,2328286
36083,Rensselaer County,2021,Postcensal Population Estimate,160645
36085,Richmond County,2021,Postcensal Population Estimate,494039
36087,Rockland County,2021,Postcensal Population Estimate,339828
36089,St. Lawrence County,2021,Postcensal Population Estimate,107835
36091,Saratoga County,2021,Postcensal Population Estimate,237885
36093,Schenectady County,2021,Postcensal Population Estimate,160066
36095,Schoharie County,2021,Postcensal Population Estimate,30144
36097,Schuyler County,2021,Postcensal Population Estimate,17789
36099,Seneca County,2021,Postcensal Population Estimate,33411
36101,Steuben County,2021,Postcensal Population Estimate,93099
36103,Suffolk County,2021,Postcensal Population Estimate,1534053
36105,Sullivan County,2021,Postcensal Population Estimate,79731
36107,Tioga County,2021,Postcensal Population Estimate,48090
36109,Tompkins County,2021,Postcensal Population Estimate,105974
36111,Ulster County,2021,Postcensal Population Estimate,183487
36113,Warren County,2021,Postcensal Population Estimate,65734
36115,Washington County,2021,Postcensal Population Estimate,60871
36117,Wayne County,2021,Postcensal Population Estimate,91173
36119,Westchester County,2021,Postcensal Population Estimate,1000036
36121,Wyoming County,2021,Postcensal Population Estimate,39916
36123,Yates County,2021,Postcensal Population Estimate,24640
36000,New York State,2020,Postcensal Population Estimate,20105171
36001,Albany County,2020,Postcensal Population Estimate,314024
36003,Allegany County,2020,Postcensal Population Estimate,47358
36005,Bronx County,2020,Postcensal Population Estimate,1459323
36007,Broome County,2020,Postcensal Population Estimate,198172
36009,Cattaraugus County,2020,Postcensal Population Estimate,76983
36011,Cayuga County,2020,Postcensal Population Estimate,76151
36013,Chautauqua County,2020,Postcensal Population Estimate,127370
36015,Chemung County,2020,Postcensal Population Estimate,83677
36017,Chenango County,2020,Postcensal Population Estimate,47079
36019,Clinton County,2020,Postcensal Population Estimate,79715
36021,Columbia County,2020,Postcensal Population Estimate,61419
36023,Cortland County,2020,Postcensal Population Estimate,46751
36025,Delaware County,2020,Postcensal Population Estimate,44230
36027,Dutchess County,2020,Postcensal Population Estimate,295913
36029,Erie County,2020,Postcensal Population Estimate,952353
36031,Essex County,2020,Postcensal Population Estimate,37288
36033,Franklin County,2020,Postcensal Population Estimate,47248
36035,Fulton County,2020,Postcensal Population Estimate,53111
36037,Genesee County,2020,Postcensal Population Estimate,58315
36039,Greene County,2020,Postcensal Population Estimate,47761
36041,Hamilton County,2020,Postcensal Population Estimate,5070
36043,Herkimer County,2020,Postcensal Population Estimate,60031
36045,Jefferson County,2020,Postcensal Population Estimate,116071
36047,Kings County,2020,Postcensal Population Estimate,2716455
36049,Lewis County,2020,Postcensal Population Estimate,26557
36051,Livingston County,2020,Postcensal Population Estimate,61596
36053,Madison County,2020,Postcensal Population Estimate,67951
36055,Monroe County,2020,Postcensal Population Estimate,757747
36057,Montgomery County,2020,Postcensal Population Estimate,49487
36059,Nassau County,2020,Postcensal Population Estimate,1390584
36061,New York County,2020,Postcensal Population Estimate,1679602
36063,Niagara County,2020,Postcensal Population Estimate,212133
36065,Oneida County,2020,Postcensal Population Estimate,231103
36067,Onondaga County,2020,Postcensal Population Estimate,474218
36069,Ontario County,2020,Postcensal Population Estimate,112350
36071,Orange County,2020,Postcensal Population Estimate,400997
36073,Orleans County,2020,Postcensal Population Estimate,40069
36075,Oswego County,2020,Postcensal Population Estimate,117450
36077,Otsego County,2020,Postcensal Population Estimate,58366
36079,Putnam County,2020,Postcensal Population Estimate,97628
36081,Queens County,2020,Postcensal Population Estimate,2389813
36083,Rensselaer County,2020,Postcensal Population Estimate,160888
36085,Richmond County,2020,Postcensal Population Estimate,495113
36087,Rockland County,2020,Postcensal Population Estimate,337378
36089,St. Lawrence County,2020,Postcensal Population Estimate,108327
36091,Saratoga County,2020,Postcensal Population Estimate,235811
36093,Schenectady County,2020,Postcensal Population Estimate,159294
36095,Schoharie County,2020,Postcensal Population Estimate,29761
36097,Schuyler County,2020,Postcensal Population Estimate,17861
36099,Seneca County,2020,Postcensal Population Estimate,33512
36101,Steuben County,2020,Postcensal Population Estimate,93321
36103,Suffolk County,2020,Postcensal Population Estimate,1522175
36105,Sullivan County,2020,Postcensal Population Estimate,78465
36107,Tioga County,2020,Postcensal Population Estimate,48354
36109,Tompkins County,2020,Postcensal Population Estimate,99778
36111,Ulster County,2020,Postcensal Population Estimate,181277
36113,Warren County,2020,Postcensal Population Estimate,65608
36115,Washington County,2020,Postcensal Population Estimate,61106
36117,Wayne County,2020,Postcensal Population Estimate,91213
36119,Westchester County,2020,Postcensal Population Estimate,1001489
36121,Wyoming County,2020,Postcensal Population Estimate,40201
36123,Yates County,2020,Postcensal Population Estimate,24720
36000,New York State,2020,Census Base Population,20203772
36001,Albany County,2020,Census Base Population,314838
36003,Allegany County,2020,Census Base Population,46477
36005,Bronx County,2020,Census Base Population,1472645
36007,Broome County,2020,Census Base Population,198685
36009,Cattaraugus County,2020,Census Base Population,77042
36011,Cayuga County,2020,Census Base Population,76249
36013,Chautauqua County,2020,Census Base Population,127647
36015,Chemung County,2020,Census Base Population,84152
36017,Chenango County,2020,Census Base Population,47229
36019,Clinton County,2020,Census Base Population,79843
36021,Columbia County,2020,Census Base Population,61571
36023,Cortland County,2020,Census Base Population,46808
36025,Delaware County,2020,Census Base Population,44310
36027,Dutchess County,2020,Census Base Population,297023
36029,Erie County,2020,Census Base Population,954208
36031,Essex County,2020,Census Base Population,37379
36033,Franklin County,2020,Census Base Population,47559
36035,Fulton County,2020,Census Base Population,53337
36037,Genesee County,2020,Census Base Population,58393
36039,Greene County,2020,Census Base Population,47932
36041,Hamilton County,2020,Census Base Population,5095
36043,Herkimer County,2020,Census Base Population,60140
36045,Jefferson County,2020,Census Base Population,116716
36047,Kings County,2020,Census Base Population,2736296
36049,Lewis County,2020,Census Base Population,26582
36051,Livingston County,2020,Census Base Population,61836
36053,Madison County,2020,Census Base Population,68031
36055,Monroe County,2020,Census Base Population,759348
36057,Montgomery County,2020,Census Base Population,49528
36059,Nassau County,2020,Census Base Population,1395805
36061,New York County,2020,Census Base Population,1694978
36063,Niagara County,2020,Census Base Population,212662
36065,Oneida County,2020,Census Base Population,232121
36067,Onondaga County,2020,Census Base Population,476523
36069,Ontario County,2020,Census Base Population,112465
36071,Orange County,2020,Census Base Population,401318
36073,Orleans County,2020,Census Base Population,40413
36075,Oswego County,2020,Census Base Population,117542
36077,Otsego County,2020,Census Base Population,58515
36079,Putnam County,2020,Census Base Population,97674
36081,Queens County,2020,Census Base Population,2405424
36083,Rensselaer County,2020,Census Base Population,161130
36085,Richmond County,2020,Census Base Population,496251
36087,Rockland County,2020,Census Base Population,338329
36089,St. Lawrence County,2020,Census Base Population,108512
36091,Saratoga County,2020,Census Base Population,235507
36093,Schenectady County,2020,Census Base Population,158045
36095,Schoharie County,2020,Census Base Population,29726
36097,Schuyler County,2020,Census Base Population,17890
36099,Seneca County,2020,Census Base Population,33806
36101,Steuben County,2020,Census Base Population,93576
36103,Suffolk County,2020,Census Base Population,1525913
36105,Sullivan County,2020,Census Base Population,78619
36107,Tioga County,2020,Census Base Population,48458
36109,Tompkins County,2020,Census Base Population,105734
36111,Ulster County,2020,Census Base Population,181833
36113,Warren County,2020,Census Base Population,65733
36115,Washington County,2020,Census Base Population,61302
36117,Wayne County,2020,Census Base Population,91293
36119,Westchester County,2020,Census Base Population,1004465
36121,Wyoming County,2020,Census Base Population,40545
36123,Yates County,2020,Census Base Population,24766
36000,New York State,2019,Intercensal Population Estimate,20220321
36001,Albany County,2019,Intercensal Population Estimate,314630
36003,Allegany County,2019,Intercensal Population Estimate,46613
36005,Bronx County,2019,Intercensal Population Estimate,1479222
36007,Broome County,2019,Intercensal Population Estimate,198864
36009,Cattaraugus County,2019,Intercensal Population Estimate,77184
36011,Cayuga County,2019,Intercensal Population Estimate,76497
36013,Chautauqua County,2019,Intercensal Population Estimate,127913
36015,Chemung County,2019,Intercensal Population Estimate,84580
36017,Chenango County,2019,Intercensal Population Estimate,47549
36019,Clinton County,2019,Intercensal Population Estimate,79968
36021,Columbia County,2019,Intercensal Population Estimate,61410
36023,Cortland County,2019,Intercensal Population Estimate,46972
36025,Delaware County,2019,Intercensal Population Estimate,44576
36027,Dutchess County,2019,Intercensal Population Estimate,296034
36029,Erie County,2019,Intercensal Population Estimate,952161
36031,Essex County,2019,Intercensal Population Estimate,37376
36033,Franklin County,2019,Intercensal Population Estimate,47830
36035,Fulton County,2019,Intercensal Population Estimate,53634
36037,Genesee County,2019,Intercensal Population Estimate,58576
36039,Greene County,2019,Intercensal Population Estimate,47872
36041,Hamilton County,2019,Intercensal Population Estimate,5122
36043,Herkimer County,2019,Intercensal Population Estimate,60509
36045,Jefferson County,2019,Intercensal Population Estimate,117602
36047,Kings County,2019,Intercensal Population Estimate,2737209
36049,Lewis County,2019,Intercensal Population Estimate,26651
36051,Livingston County,2019,Intercensal Population Estimate,62219
36053,Madison County,2019,Intercensal Population Estimate,68498
36055,Monroe County,2019,Intercensal Population Estimate,758941
36057,Montgomery County,2019,Intercensal Population Estimate,49638
36059,Nassau County,2019,Intercensal Population Estimate,1395123
36061,New York County,2019,Intercensal Population Estimate,1702471
36063,Niagara County,2019,Intercensal Population Estimate,213145
36065,Oneida County,2019,Intercensal Population Estimate,232323
36067,Onondaga County,2019,Intercensal Population Estimate,476259
36069,Ontario County,2019,Intercensal Population Estimate,112153
36071,Orange County,2019,Intercensal Population Estimate,399706
36073,Orleans County,2019,Intercensal Population Estimate,40577
36075,Oswego County,2019,Intercensal Population Estimate,117837
36077,Otsego County,2019,Intercensal Population Estimate,59010
36079,Putnam County,2019,Intercensal Population Estimate,97669
36081,Queens County,2019,Intercensal Population Estimate,2411304
36083,Rensselaer County,2019,Intercensal Population Estimate,161516
36085,Richmond County,2019,Intercensal Population Estimate,494545
36087,Rockland County,2019,Intercensal Population Estimate,337332
36089,St. Lawrence County,2019,Intercensal Population Estimate,108824
36091,Saratoga County,2019,Intercensal Population Estimate,234518
36093,Schenectady County,2019,Intercensal Population Estimate,157939
36095,Schoharie County,2019,Intercensal Population Estimate,29758
36097,Schuyler County,2019,Intercensal Population Estimate,17993
36099,Seneca County,2019,Intercensal Population Estimate,33966
36101,Steuben County,2019,Intercensal Population Estimate,94165
36103,Suffolk County,2019,Intercensal Population Estimate,1524358
36105,Sullivan County,2019,Intercensal Population Estimate,78177
36107,Tioga County,2019,Intercensal Population Estimate,48641
36109,Tompkins County,2019,Intercensal Population Estimate,106038
36111,Ulster County,2019,Intercensal Population Estimate,181643
36113,Warren County,2019,Intercensal Population Estimate,65755
36115,Washington County,2019,Intercensal Population Estimate,61665
36117,Wayne County,2019,Intercensal Population Estimate,91483
36119,Westchester County,2019,Intercensal Population Estimate,1002976
36121,Wyoming County,2019,Intercensal Population Estimate,40737
36123,Yates County,2019,Intercensal Population Estimate,24865
36000,New York State,2018,Intercensal Population Estimate,20219472
36001,Albany County,2018,Intercensal Population Estimate,315501
36003,Allegany County,2018,Intercensal Population Estimate,46908
36005,Bronx County,2018,Intercensal Population Estimate,1486756
36007,Broome County,2018,Intercensal Population Estimate,199471
36009,Cattaraugus County,2018,Intercensal Population Estimate,77599
36011,Cayuga County,2018,Intercensal Population Estimate,77164
36013,Chautauqua County,2018,Intercensal Population Estimate,128655
36015,Chemung County,2018,Intercensal Population Estimate,85081
36017,Chenango County,2018,Intercensal Population Estimate,47784
36019,Clinton County,2018,Intercensal Population Estimate,80619
36021,Columbia County,2018,Intercensal Population Estimate,61482
36023,Cortland County,2018,Intercensal Population Estimate,47330
36025,Delaware County,2018,Intercensal Population Estimate,44820
36027,Dutchess County,2018,Intercensal Population Estimate,295687
36029,Erie County,2018,Intercensal Population Estimate,949686
36031,Essex County,2018,Intercensal Population Estimate,37656
36033,Franklin County,2018,Intercensal Population Estimate,48298
36035,Fulton County,2018,Intercensal Population Estimate,53921
36037,Genesee County,2018,Intercensal Population Estimate,58546
36039,Greene County,2018,Intercensal Population Estimate,47991
36041,Hamilton County,2018,Intercensal Population Estimate,5063
36043,Herkimer County,2018,Intercensal Population Estimate,61004
36045,Jefferson County,2018,Intercensal Population Estimate,118919
36047,Kings County,2018,Intercensal Population Estimate,2736071
36049,Lewis County,2018,Intercensal Population Estimate,26790
36051,Livingston County,2018,Intercensal Population Estimate,62681
36053,Madison County,2018,Intercensal Population Estimate,69060
36055,Monroe County,2018,Intercensal Population Estimate,758810
36057,Montgomery County,2018,Intercensal Population Estimate,49754
36059,Nassau County,2018,Intercensal Population Estimate,1392254
36061,New York County,2018,Intercensal Population Estimate,1694959
36063,Niagara County,2018,Intercensal Population Estimate,213495
36065,Oneida County,2018,Intercensal Population Estimate,233073
36067,Onondaga County,2018,Intercensal Population Estimate,475617
36069,Ontario County,2018,Intercensal Population Estimate,111896
36071,Orange County,2018,Intercensal Population Estimate,395573
36073,Orleans County,2018,Intercensal Population Estimate,40910
36075,Oswego County,2018,Intercensal Population Estimate,118325
36077,Otsego County,2018,Intercensal Population Estimate,59527
36079,Putnam County,2018,Intercensal Population Estimate,98120
36081,Queens County,2018,Intercensal Population Estimate,2415645
36083,Rensselaer County,2018,Intercensal Population Estimate,161713
36085,Richmond County,2018,Intercensal Population Estimate,492946
36087,Rockland County,2018,Intercensal Population Estimate,335450
36089,St. Lawrence County,2018,Intercensal Population Estimate,109477
36091,Saratoga County,2018,Intercensal Population Estimate,234483
36093,Schenectady County,2018,Intercensal Population Estimate,157467
36095,Schoharie County,2018,Intercensal Population Estimate,30028
36097,Schuyler County,2018,Intercensal Population Estimate,18003
36099,Seneca County,2018,Intercensal Population Estimate,34078
36101,Steuben County,2018,Intercensal Population Estimate,94839
36103,Suffolk County,2018,Intercensal Population Estimate,1523333
36105,Sullivan County,2018,Intercensal Population Estimate,77723
36107,Tioga County,2018,Intercensal Population Estimate,48891
36109,Tompkins County,2018,Intercensal Population Estimate,106009
36111,Ulster County,2018,Intercensal Population Estimate,181819
36113,Warren County,2018,Intercensal Population Estimate,65853
36115,Washington County,2018,Intercensal Population Estimate,61777
36117,Wayne County,2018,Intercensal Population Estimate,91597
36119,Westchester County,2018,Intercensal Population Estimate,999708
36121,Wyoming County,2018,Intercensal Population Estimate,40851
36123,Yates County,2018,Intercensal Population Estimate,24926
36000,New York State,2017,Intercensal Population Estimate,20187407
36001,Albany County,2017,Intercensal Population Estimate,315662
36003,Allegany County,2017,Intercensal Population Estimate,47216
36005,Bronx County,2017,Intercensal Population Estimate,1487801
36007,Broome County,2017,Intercensal Population Estimate,199626
36009,Cattaraugus County,2017,Intercensal Population Estimate,77947
36011,Cayuga County,2017,Intercensal Population Estimate,77532
36013,Chautauqua County,2017,Intercensal Population Estimate,129425
36015,Chemung County,2017,Intercensal Population Estimate,85747
36017,Chenango County,2017,Intercensal Population Estimate,48089
36019,Clinton County,2017,Intercensal Population Estimate,80546
36021,Columbia County,2017,Intercensal Population Estimate,61746
36023,Cortland County,2017,Intercensal Population Estimate,47491
36025,Delaware County,2017,Intercensal Population Estimate,45234
36027,Dutchess County,2017,Intercensal Population Estimate,295158
36029,Erie County,2017,Intercensal Population Estimate,945520
36031,Essex County,2017,Intercensal Population Estimate,37825
36033,Franklin County,2017,Intercensal Population Estimate,48696
36035,Fulton County,2017,Intercensal Population Estimate,54049
